QuestionType;Question;QuestionID;Answer_Participant_p1_condition_A;Answer_Participant_p2_condition_A;Answer_Participant_p3_condition_A
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;14;10;20
radio;Which one is more slippery;q1;3;1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;5;7;0
linearSlider;Please rate how realistic the entire experience is;s1;6;7;0
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;12;19;20
radio;Which one is more slippery;q1;3;3;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;5;1;6
linearSlider;Please rate how realistic the entire experience is;s1;6;1;6
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;16;12;11
radio;Which one is more slippery;q1;3;3;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2;6;7
linearSlider;Please rate how realistic the entire experience is;s1;2;3;8
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;19;11;1
radio;Which one is more slippery;q1;3;3;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;1;7;7
linearSlider;Please rate how realistic the entire experience is;s1;1;7;8
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;13;20;17
radio;Which one is more slippery;q1;3;3;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;4;0;6
linearSlider;Please rate how realistic the entire experience is;s1;8;0;6
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;13;8;12
radio;Which one is more slippery;q1;3;1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;5;5;8
linearSlider;Please rate how realistic the entire experience is;s1;7;5;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;15;11;20
radio;Which one is more slippery;q1;3;2;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;5;7;0
linearSlider;Please rate how realistic the entire experience is;s1;5;7;0
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;6;9;19
radio;Which one is more slippery;q1;1;1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2;5;6
linearSlider;Please rate how realistic the entire experience is;s1;2;5;7

