QuestionType;Question;QuestionID;Answer_Participant_p5_condition_A
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;7
radio;Which one is more slippery;q1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;6
linearSlider;Please rate how realistic the entire experience is;s1;6
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;10
radio;Which one is more slippery;q1;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;7
linearSlider;Please rate how realistic the entire experience is;s1;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;13
radio;Which one is more slippery;q1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;4
linearSlider;Please rate how realistic the entire experience is;s1;5
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;15
radio;Which one is more slippery;q1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;3
linearSlider;Please rate how realistic the entire experience is;s1;4
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;18
radio;Which one is more slippery;q1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;1
linearSlider;Please rate how realistic the entire experience is;s1;1
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;20
radio;Which one is more slippery;q1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;0
linearSlider;Please rate how realistic the entire experience is;s1;0
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;17
radio;Which one is more slippery;q1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2
linearSlider;Please rate how realistic the entire experience is;s1;2
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;14
radio;Which one is more slippery;q1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;3
linearSlider;Please rate how realistic the entire experience is;s1;3

