QuestionType;Question;QuestionID;Answer
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;
radio;Which one is more slippery;q1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;4
linearSlider;Please rate how realistic the entire experience is;s1;4
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;
radio;Which one is more slippery;q1;
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;4
linearSlider;Please rate how realistic the entire experience is;s1;4
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;
radio;Which one is more slippery;q1;
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;4
linearSlider;Please rate how realistic the entire experience is;s1;4

