QuestionType;Question;QuestionID;Answer
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;2
radio;Which one is more slippery;q1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;5
linearSlider;Please rate how realistic the entire experience is;s1;2
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;10
radio;Which one is more slippery;q1;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;7
linearSlider;Please rate how realistic the entire experience is;s1;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;6
radio;Which one is more slippery;q1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;3
linearSlider;Please rate how realistic the entire experience is;s1;5
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;6
radio;Which one is more slippery;q1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;3
linearSlider;Please rate how realistic the entire experience is;s1;3
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;17
radio;Which one is more slippery;q1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2
linearSlider;Please rate how realistic the entire experience is;s1;3
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;2
radio;Which one is more slippery;q1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;1
linearSlider;Please rate how realistic the entire experience is;s1;1
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;9
radio;Which one is more slippery;q1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;3
linearSlider;Please rate how realistic the entire experience is;s1;3
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;9
radio;Which one is more slippery;q1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2
linearSlider;Please rate how realistic the entire experience is;s1;2

